LAMMPS data file from comp_module

125 atoms
1 atom types

4.248773934881028 21.251226065118665 xlo xhi
4.248773934881028 21.251226065118665 ylo yhi
4.248773934881028 21.251226065118665 zlo zhi

Masses

1 207.2

Atoms # atomic

1 1 13.5484 9.93797 5.04991
2 1 7.66844 7.50578 6.16723
3 1 7.37948 7.19794 10.2533
4 1 10.5601 5.63821 5.8864
5 1 13.5399 4.71655 7.05323
6 1 17.2532 5.42107 8.38366
7 1 4.91162 6.83379 6.72341
8 1 8.62949 11.591 6.17986
9 1 4.74677 10.282 6.76542
10 1 10.4377 8.75014 7.37662
11 1 16.0792 8.01767 6.02698
12 1 18.5734 10.2439 7.22701
13 1 20.5766 11.568 10.5736
14 1 15.2412 10.8855 10.6213
15 1 5.03616 5.25612 9.20846
16 1 4.56073 8.34775 9.86389
17 1 10.3512 7.24589 10.5148
18 1 15.7119 11.2016 7.46482
19 1 14.3793 8.14827 8.9282
20 1 12.7946 9.39133 11.4286
21 1 15.4814 7.63079 12.3501
22 1 18.2705 9.00009 11.3664
23 1 19.0667 5.95025 10.5564
24 1 7.16152 10.2307 8.86836
25 1 9.90597 10.7065 11.1515
26 1 12.5498 11.216 8.89547
27 1 18.4982 11.6709 4.38348
28 1 7.85249 6.75333 15.8336
29 1 17.392 5.3335 18.2864
30 1 10.5934 8.02514 13.5448
31 1 15.2408 5.72764 15.146
32 1 13.3125 4.7771 17.3413
33 1 9.25242 10.1102 16.0824
34 1 5.90075 10.3592 15.3991
35 1 15.6239 12.4855 15.2098
36 1 11.9556 11.1315 14.0946
37 1 15.5104 10.1511 17.6073
38 1 14.308 8.6681 15.2463
39 1 20.6232 11.0145 13.6244
40 1 17.2034 8.59838 14.9646
41 1 8.94651 7.92839 18.5995
42 1 6.01234 6.01079 20.2801
43 1 12.4115 8.40636 18.2892
44 1 5.47069 4.81076 14.9582
45 1 13.1276 7.22347 21.2538
46 1 19.1376 5.42265 20.8985
47 1 19.6659 6.50222 16.3108
48 1 20.7044 11.6514 18.013
49 1 8.20931 11.0903 18.8059
50 1 5.58083 8.46677 17.9592
51 1 8.66378 4.97547 13.3507
52 1 10.9533 12.1554 17.55
53 1 10.3243 9.94623 20.9031
54 1 16.285 8.98119 20.1558
55 1 7.37278 8.8464 12.8525
56 1 18.6369 9.34984 17.868
57 1 20.3277 9.16245 20.5821
58 1 6.44174 9.91436 21.1035
59 1 17.6317 4.79685 13.2531
60 1 5.81372 20.479 12.1353
61 1 10.5177 15.6416 6.67046
62 1 11.9405 18.9221 7.65119
63 1 13.0253 13.6198 6.45175
64 1 16.7674 15.0774 6.62335
65 1 13.108 12.8607 11.8308
66 1 19.9792 16.2879 5.60093
67 1 5.7068 16.3549 7.25273
68 1 7.38288 15.6931 4.34898
69 1 20.7123 18.6948 8.35876
70 1 7.39021 21.386 5.26997
71 1 9.53473 14.0122 10.8274
72 1 14.6474 18.6308 5.76967
73 1 17.6228 19.1328 6.21247
74 1 20.4562 20.8057 6.14868
75 1 5.59334 13.2939 9.22562
76 1 5.31897 16.8156 10.6143
77 1 9.00434 16.878 12.6624
78 1 9.09783 17.0296 9.06321
79 1 20.4144 13.095 6.4769
80 1 12.2508 16.1561 10.9842
81 1 13.275 16.1278 8.00269
82 1 19.6885 15.7572 9.45615
83 1 16.4825 14.4131 10.5325
84 1 17.8308 19.3503 9.59552
85 1 7.04067 19.5074 9.50434
86 1 9.21254 19.7715 7.27507
87 1 11.101 19.3844 10.6441
88 1 15.6691 17.3087 8.85787
89 1 16.3408 18.053 12.6899
90 1 10.2971 18.5011 4.30372
91 1 13.3212 16.113 4.49767
92 1 6.03952 16.9202 14.6287
93 1 7.9171 13.1363 15.5672
94 1 5.3832 14.9669 17.2467
95 1 14.5681 16.459 18.0393
96 1 11.2653 14.8011 14.4394
97 1 13.4308 13.6437 16.7451
98 1 20.7875 20.9612 18.4566
99 1 16.6369 16.1487 15.3393
100 1 19.7265 17.6374 13.3832
101 1 7.64122 19.4589 14.8683
102 1 10.9767 18.0419 14.6463
103 1 14.4698 15.6152 12.9485
104 1 13.7317 19.0603 15.9486
105 1 19.2826 18.7419 20.4637
106 1 21.1078 18.1832 16.4898
107 1 18.1923 19.771 15.399
108 1 8.62138 14.6831 18.1588
109 1 11.4574 15.0222 18.9755
110 1 13.0346 20.7716 12.9532
111 1 17.4381 17.9248 18.2367
112 1 16.5178 14.1339 17.7664
113 1 16.9066 15.5122 20.6324
114 1 19.702 15.314 19.4427
115 1 6.9496 17.5492 18.1831
116 1 10.7078 18.1219 18.1668
117 1 7.27616 20.9096 17.5775
118 1 13.7564 19.1651 19.7092
119 1 10.1268 20.9649 15.9269
120 1 5.61195 18.9755 20.9643
121 1 5.28999 13.2742 20.5154
122 1 10.1123 13.5211 21.1778
123 1 15.2452 13.0322 20.6526
124 1 6.56746 13.8218 12.6396
125 1 18.6399 14.4931 12.7903
