R pe
1.8 11.1678696795915
1.9 6.47428265343871
2 3.1071332056266
2.1 0.708492218919069
2.2 -0.983129302604572
2.3 -2.1586838495679
2.4 -2.95754836059254
2.5 -3.48140188739826
2.6 -3.80438125949583
2.7 -3.9805119318069
2.8 -4.04914374837111
2.9 -4.03892641750048
3 -3.97071661843011
3.1 -3.85970183137185
3.2 -3.71695289328123
3.3 -3.55055729877106
3.4 -3.36644681173851
3.5 -3.16900313928872
3.6 -2.96148930397932
3.7 -2.7463824614698
3.8 -2.52560642111491
3.9 -2.30068007469283
4 -2.07278026998139
4.1 -1.83981961974002
4.2 -1.61677307757608
4.3 -1.42047960390191
4.4 -1.14829473618003
4.5 -0.796037715579932
4.6 -0.474830409712716
4.7 -0.239405346185178
4.8 -0.0935403047358655
4.9 -0.024235713511039
5 -0.0177066374599981
5.1 -0.0633071908727055
5.2 -0.149819577702079
5.3 -0.257293917610522
5.4 -0.348317071423378
5.5 -0.3690242873201
5.6 -0.283444707152763
5.7 -0.139039201005176
5.8 -0.0362081971541778
5.9 -0.00272848086998673
6 0
6.1 0
6.2 0
6.3 0
6.4 0
6.5 0
6.6 0
6.7 0
