Давление (Па),	Температура (К),	Сошлось?,	Min TPD (Дж/моль)
100000.0	150	1	-3645.948392892319
200000.0	150	1	-4497.490623338879
300000.0	150	1	-4863.6271429718545
400000.0	150	1	-5017.571321023923
500000.0	150	1	-5038.414852864227
600000.0	150	1	-193.73124205342978
700000.0	150	1	-23.13392464753293
800000.0	150	1	7.0022818957299424e-12
900000.0	150	1	-5.211019582928732e-12
1.0e6	150	1	-2.496320063841476e-13
1.1e6	150	1	2.5698585156451936e-12
1.2e6	150	1	-1.3226041144110009e-12
1.3e6	150	1	1.6644818339519316e-12
1.4e6	150	1	-6.391686598126566e-12
1.5e6	150	1	2.2464457395423275e-12
1.6e6	150	1	-5.237223644483227e-12
1.7e6	150	1	-8.946979067648588e-12
1.8e6	150	1	-8.293009681070327e-12
1.9e6	150	1	-7.414600854680539e-13
2.0e6	150	1	-7.402043667470459e-12
2.1e6	150	1	-4.147302965164769e-12
2.2e6	150	1	1.0296398418966626e-11
2.3e6	150	1	1.1470086067332267e-12
2.4e6	150	1	-5.510197847708695e-13
2.5e6	150	1	-3.3025783569687653e-12
2.6e6	150	1	7.756124687879513e-12
2.7e6	150	1	4.435862255076537e-12
2.8e6	150	1	6.367625616749502e-12
2.9e6	150	1	-5.524100574284059e-13
3.0e6	150	1	-5.537281121521506e-12
3.1e6	150	1	1.939595457854861e-12
3.2e6	150	1	8.077192038857036e-13
3.3e6	150	1	-4.73501732385924e-12
3.4e6	150	1	-1.4122547387083202e-11
3.5e6	150	1	-1.0557771696639466e-11
3.6e6	150	1	-4.74545579664165e-12
3.7e6	150	1	-4.1944718288707136e-12
3.8e6	150	1	8.897454828297752e-12
3.9e6	150	1	-8.630292875794367e-12
4.0e6	150	1	-2.5400540173051004e-12
4.1e6	150	1	-6.695926503947459e-12
4.2e6	150	1	-5.313076776869159e-12
4.3e6	150	1	4.723910287548046e-12
4.4e6	150	1	1.2311131355623086e-12
4.5e6	150	1	-4.694435391750586e-12
4.6e6	150	1	2.9945650451522476e-12
4.7e6	150	1	-6.751281018881495e-12
4.8e6	150	1	2.7792584820787806e-12
4.9e6	150	1	-8.575674929276318e-12
5.0e6	150	1	-1.6217101666675957e-11
5.1e6	150	1	-5.531067813933788e-12
5.2e6	150	1	-1.4996981893909255e-12
5.3e6	150	1	-2.1565033287741786e-13
5.4e6	150	1	8.555657233838467e-12
5.5e6	150	1	-5.810396265629563e-12
5.6e6	150	1	-1.2457119161842875e-11
5.7e6	150	1	-6.756552818114e-12
5.8e6	150	1	-7.473243733416141e-12
5.9e6	150	1	-8.858231937047803e-12
6.0e6	150	1	3.6072601933360418e-12
6.1e6	150	1	-3.3202979010370925e-12
6.2e6	150	1	-2.427879413762239e-12
6.3e6	150	1	-7.447122850708825e-12
6.4e6	150	1	-5.550037595572922e-13
6.5e6	150	1	-2.4904341440169924e-12
6.6e6	150	1	2.2275293453310682e-13
6.7e6	150	1	-3.3215574316181214e-12
6.8e6	150	1	1.564534308550814e-12
6.9e6	150	1	-5.260329277092599e-12
7.0e6	150	1	1.3847527117857763e-11
7.1e6	150	1	-6.645196863973726e-12
7.2e6	150	1	-9.29825634060432e-12
7.3e6	150	1	-1.5507058199981177e-11
7.4e6	150	1	-7.659316780094644e-12
7.5e6	150	1	-1.6608540673835924e-12
7.6e6	150	1	-2.0056384430046457e-13
7.7e6	150	1	-7.7533814623067e-12
7.8e6	150	1	-1.3015053966629336e-11
