Давление (Па),	Температура (К),	Сошлось?,	Min TPD (Дж/моль)
100000.0	25	1	1.7950979800992077e-11
200000.0	25	1	-1.908831036504463e-12
300000.0	25	1	-2.7461258415361472e-11
400000.0	25	1	1.574332926421823e-11
500000.0	25	1	6.518039065880702e-12
600000.0	25	1	-1.5894497480480048e-11
700000.0	25	1	-3.1735637626154754e-11
800000.0	25	1	2.3571131150564413e-12
900000.0	25	1	2.392263136179777e-12
1.0e6	25	1	-1.190923646100095e-11
1.1e6	25	1	-8.401140671269272e-12
1.2e6	25	1	-2.2053079095359725e-11
1.3e6	25	1	-1.6993599198962296e-11
1.4e6	25	1	-1.8102285143788303e-11
1.5e6	25	1	-3.044461501011242e-11
1.6e6	25	1	-8.738843194736047e-12
1.7e6	25	1	-7.313913772345907e-12
1.8e6	25	1	-7.415077934526665e-12
1.9e6	25	1	-3.502010577642202e-11
2.0e6	25	1	-7.781042679246099e-12
2.1e6	25	1	-1.1548335361084762e-11
2.2e6	25	1	-1.4489826571612108e-11
2.3e6	25	1	4.6171109976730416e-11
2.4e6	25	1	-6.721980107621868e-12
2.5e6	25	1	-5.372915781111007e-13
2.6e6	25	1	-2.3346203378338752e-11
2.7e6	25	1	-3.4261422688822506e-11
2.8e6	25	1	-1.9422853398814e-11
2.9e6	25	1	-1.3173605691668264e-11
3.0e6	25	1	-2.641918192651819e-11
3.1e6	25	1	1.1117146621998878e-11
3.2e6	25	1	-2.2013475383522995e-11
3.3e6	25	1	3.3113381872149055e-13
3.4e6	25	1	-9.549923591560202e-12
3.5e6	25	1	1.2572205296008122e-11
3.6e6	25	1	-2.2440496861645252e-11
3.7e6	25	1	1.3788737720951131e-11
3.8e6	25	1	-1.6287589643484297e-11
3.9e6	25	1	8.762530264747612e-12
4.0e6	25	1	-3.9633800160960836e-11
4.1e6	25	1	-2.934724684122436e-11
4.2e6	25	1	-1.0594388181695688e-11
4.3e6	25	1	-1.9517788339616724e-11
4.4e6	25	1	-2.6695631434616656e-11
4.5e6	25	1	2.6674130098158902e-11
4.6e6	25	1	8.9609159243313e-12
4.7e6	25	1	2.9434805858827066e-12
4.8e6	25	1	-1.726510615988454e-11
4.9e6	25	1	1.96695679059581e-11
5.0e6	25	1	-8.093106310578135e-12
5.1e6	25	1	-8.766358638575772e-12
5.2e6	25	1	-2.1793923466303948e-12
5.3e6	25	1	9.060807432320182e-12
5.4e6	25	1	9.678438109271078e-12
5.5e6	25	1	-2.6179116229189867e-11
5.6e6	25	1	-3.8378814945206543e-11
5.7e6	25	1	2.82557974297488e-11
5.8e6	25	1	-8.129879800285032e-12
5.9e6	25	1	3.363545772745769e-11
6.0e6	25	1	-3.129207175325534e-11
6.1e6	25	1	4.026339868998442e-12
6.2e6	25	1	9.942909259388394e-12
6.3e6	25	1	1.5482415028824904e-11
6.4e6	25	1	1.5989109037576628e-12
6.5e6	25	1	-2.5421133643714023e-11
6.6e6	25	1	1.4358663450140729e-11
6.7e6	25	1	-1.869172287330851e-11
6.8e6	25	1	-4.35304490248834e-11
6.9e6	25	1	1.599401007378569e-11
7.0e6	25	1	4.719184264042467e-12
7.1e6	25	1	-5.267900576594596e-12
7.2e6	25	1	-1.960098384615993e-11
7.3e6	25	1	-1.0766799449214519e-11
7.4e6	25	1	2.0514481748831936e-11
7.5e6	25	1	-2.6216473861960417e-11
7.6e6	25	1	-3.3641490508501546e-11
7.7e6	25	1	1.3656851082279765e-12
7.8e6	25	1	1.944780809812683e-11
7.9e6	25	1	2.441820338156568e-11
8.0e6	25	1	-2.500433590191658e-11
8.1e6	25	1	1.1721415336736783e-11
8.2e6	25	1	-3.2753035545805502e-12
8.3e6	25	1	-1.1987918937487657e-11
8.4e6	25	1	-3.3990670601333515e-11
8.5e6	25	1	8.222617223876281e-12
8.6e6	25	1	-1.4077545853684451e-11
8.7e6	25	1	-1.130464478549104e-11
