# Chunk-averaged data for fix ave_densityy and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
10000 100 20999.999999999996
  1 0.005 214.294 0.120439
  2 0.015 217.292 0.122124
  3 0.025 215.07 0.120875
  4 0.035 211.356 0.118787
  5 0.045 212.846 0.119625
  6 0.055 209.89 0.117963
  7 0.065 207.576 0.116663
  8 0.075 202.732 0.11394
  9 0.085 201.878 0.11346
  10 0.095 200.342 0.112597
  11 0.105 195.772 0.110029
  12 0.115 193.012 0.108478
  13 0.125 198.506 0.111565
  14 0.135 197.666 0.111093
  15 0.145 195.834 0.110064
  16 0.155 193.842 0.108944
  17 0.165 196.302 0.110327
  18 0.175 196.218 0.110279
  19 0.185 198.71 0.11168
  20 0.195 196.606 0.110497
  21 0.205 193.234 0.108602
  22 0.215 193.802 0.108922
  23 0.225 197.062 0.110754
  24 0.235 200.866 0.112892
  25 0.245 192.874 0.1084
  26 0.255 200.824 0.112868
  27 0.265 197.642 0.11108
  28 0.275 200.036 0.112425
  29 0.285 202.092 0.113581
  30 0.295 208.744 0.117319
  31 0.305 204.472 0.114918
  32 0.315 208.612 0.117245
  33 0.325 212.678 0.11953
  34 0.335 213.56 0.120026
  35 0.345 213.968 0.120255
  36 0.355 209.218 0.117586
  37 0.365 216.552 0.121708
  38 0.375 202.916 0.114044
  39 0.385 210.6 0.118362
  40 0.395 208.908 0.117411
  41 0.405 198.97 0.111826
  42 0.415 205.524 0.11551
  43 0.425 208.464 0.117162
  44 0.435 195.922 0.110113
  45 0.445 206.736 0.116191
  46 0.455 206.66 0.116148
  47 0.465 191.902 0.107854
  48 0.475 216.564 0.121714
  49 0.485 203.424 0.114329
  50 0.495 190.868 0.107273
  51 0.505 210.008 0.11803
  52 0.515 198.482 0.111552
  53 0.525 190.354 0.106984
  54 0.535 204.416 0.114887
  55 0.545 200.768 0.112837
  56 0.555 199.038 0.111864
  57 0.565 207.69 0.116727
  58 0.575 203.08 0.114136
  59 0.585 204.414 0.114886
  60 0.595 209.346 0.117658
  61 0.605 202.36 0.113731
  62 0.615 215.294 0.121001
  63 0.625 206.932 0.116301
  64 0.635 204.808 0.115107
  65 0.645 211.594 0.118921
  66 0.655 218.488 0.122796
  67 0.665 214.094 0.120326
  68 0.675 214.754 0.120697
  69 0.685 223.718 0.125735
  70 0.695 215.086 0.120884
  71 0.705 225.344 0.126649
  72 0.715 219.228 0.123212
  73 0.725 218.92 0.123038
  74 0.735 224.056 0.125925
  75 0.745 221.13 0.124281
  76 0.755 223.2 0.125444
  77 0.765 228.13 0.128215
  78 0.775 220.888 0.124145
  79 0.785 223.052 0.125361
  80 0.795 221.092 0.124259
  81 0.805 225.842 0.126929
  82 0.815 223.92 0.125849
  83 0.825 218.696 0.122913
  84 0.835 231.388 0.130046
  85 0.845 221.95 0.124741
  86 0.855 226.578 0.127342
  87 0.865 229.704 0.129099
  88 0.875 223.436 0.125577
  89 0.885 219.896 0.123587
  90 0.895 223.66 0.125702
  91 0.905 226.55 0.127327
  92 0.915 213.98 0.120262
  93 0.925 226.086 0.127066
  94 0.935 226.086 0.127066
  95 0.945 217.51 0.122246
  96 0.955 221.728 0.124617
  97 0.965 221.256 0.124351
  98 0.975 213.806 0.120164
  99 0.985 219.796 0.123531
  100 0.995 218.93 0.123044
20000 100 21000.000000000004
  1 0.005 207.57 0.116659
  2 0.015 205.99 0.115772
  3 0.025 203.724 0.114498
  4 0.035 204.484 0.114925
  5 0.045 203.78 0.114529
  6 0.055 209.528 0.11776
  7 0.065 208.96 0.117441
  8 0.075 202.7 0.113922
  9 0.085 213.442 0.11996
  10 0.095 202.308 0.113702
  11 0.105 207.73 0.116749
  12 0.115 201.644 0.113329
  13 0.125 203.876 0.114583
  14 0.135 199.058 0.111876
  15 0.145 200.148 0.112488
  16 0.155 196.066 0.110194
  17 0.165 201.12 0.113034
  18 0.175 194.794 0.109479
  19 0.185 201.578 0.113292
  20 0.195 205.058 0.115248
  21 0.205 201.056 0.112998
  22 0.215 191.832 0.107814
  23 0.225 215.76 0.121262
  24 0.235 200.784 0.112846
  25 0.245 192.25 0.108049
  26 0.255 211.994 0.119146
  27 0.265 200.552 0.112715
  28 0.275 194.14 0.109112
  29 0.285 213.232 0.119842
  30 0.295 203.388 0.114309
  31 0.305 200.338 0.112595
  32 0.315 210.442 0.118274
  33 0.325 207.01 0.116345
  34 0.335 206.24 0.115912
  35 0.345 203.868 0.114579
  36 0.355 215.158 0.120924
