# Chunk-averaged data for fix ave_densityz and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
10000 100 21000
  1 0.005 194.284 0.109192
  2 0.015 197.236 0.110852
  3 0.025 188.064 0.105697
  4 0.035 191.358 0.107548
  5 0.045 194.026 0.109047
  6 0.055 181.516 0.102017
  7 0.065 183.814 0.103308
  8 0.075 174.142 0.0978721
  9 0.085 181.134 0.101802
  10 0.095 170.566 0.0958623
  11 0.105 169.31 0.0951564
  12 0.115 177.634 0.0998347
  13 0.125 172.052 0.0966975
  14 0.135 160.83 0.0903905
  15 0.145 159.106 0.0894215
  16 0.155 163.352 0.0918079
  17 0.165 155.682 0.0874972
  18 0.175 162.134 0.0911233
  19 0.185 152.034 0.0854469
  20 0.195 146.73 0.0824659
  21 0.205 151.878 0.0853592
  22 0.215 149.328 0.083926
  23 0.225 146.888 0.0825547
  24 0.235 143.592 0.0807023
  25 0.245 150.114 0.0843678
  26 0.255 149.372 0.0839508
  27 0.265 156.604 0.0880153
  28 0.275 147.94 0.083146
  29 0.285 152.352 0.0856256
  30 0.295 165.934 0.093259
  31 0.305 153.906 0.086499
  32 0.315 161.862 0.0909705
  33 0.325 170.59 0.0958758
  34 0.335 167.392 0.0940785
  35 0.345 170.672 0.0959219
  36 0.355 174.676 0.0981723
  37 0.365 180.306 0.101336
  38 0.375 183.406 0.103079
  39 0.385 182.21 0.102407
  40 0.395 187.594 0.105432
  41 0.405 191.506 0.107631
  42 0.415 190.296 0.106951
  43 0.425 194.542 0.109337
  44 0.435 200.456 0.112661
  45 0.445 205.312 0.11539
  46 0.455 215.178 0.120935
  47 0.465 211.69 0.118975
  48 0.475 224.36 0.126096
  49 0.485 219.17 0.123179
  50 0.495 228.366 0.128347
  51 0.505 233.236 0.131084
  52 0.515 233.522 0.131245
  53 0.525 236.61 0.132981
  54 0.535 238.112 0.133825
  55 0.545 246.188 0.138364
  56 0.555 238.442 0.13401
  57 0.565 250.898 0.141011
  58 0.575 246.664 0.138631
  59 0.585 245.562 0.138012
  60 0.595 256.67 0.144255
  61 0.605 249.066 0.139981
  62 0.615 249.43 0.140186
  63 0.625 257.82 0.144901
  64 0.635 248.592 0.139715
  65 0.645 249.732 0.140356
  66 0.655 264.978 0.148924
  67 0.665 254.3 0.142923
  68 0.675 254.29 0.142917
  69 0.685 268.096 0.150677
  70 0.695 253.768 0.142624
  71 0.705 263.366 0.148018
  72 0.715 266.4 0.149723
  73 0.725 254.476 0.143022
  74 0.735 259.594 0.145898
  75 0.745 267.004 0.150063
  76 0.755 251.046 0.141094
  77 0.765 264.242 0.148511
  78 0.775 265.108 0.148997
  79 0.785 251.518 0.141359
  80 0.795 263.768 0.148244
  81 0.805 257.752 0.144863
  82 0.815 257.886 0.144938
  83 0.825 254.338 0.142944
  84 0.835 260.73 0.146537
  85 0.845 258.198 0.145114
  86 0.855 241.034 0.135467
  87 0.865 263.936 0.148339
  88 0.875 240.124 0.134956
  89 0.885 234.98 0.132065
  90 0.895 238.048 0.133789
  91 0.905 220.83 0.124112
  92 0.915 222.592 0.125102
  93 0.925 215.976 0.121384
  94 0.935 219.328 0.123268
  95 0.945 213.978 0.120261
  96 0.955 210.184 0.118129
  97 0.965 201.71 0.113366
  98 0.975 211.796 0.119035
  99 0.985 190.188 0.10689
  100 0.995 201.398 0.113191
20000 100 20999.999999999993
  1 0.005 194.674 0.109412
  2 0.015 195.608 0.109937
  3 0.025 192.294 0.108074
  4 0.035 187.452 0.105353
  5 0.045 183.642 0.103211
  6 0.055 185.646 0.104338
  7 0.065 183.164 0.102943
  8 0.075 175.746 0.0987736
  9 0.085 179.012 0.100609
  10 0.095 181.132 0.101801
  11 0.105 178.114 0.100104
  12 0.115 175.714 0.0987556
  13 0.125 183.716 0.103253
  14 0.135 170.322 0.0957252
  15 0.145 176.482 0.0991873
  16 0.155 179.378 0.100815
  17 0.165 173.676 0.0976102
  18 0.175 178.274 0.100194
  19 0.185 175.024 0.0983678
  20 0.195 170.212 0.0956634
  21 0.205 174.048 0.0978193
  22 0.215 173.886 0.0977283
  23 0.225 163.304 0.0917809
  24 0.235 169.64 0.0953419
  25 0.245 173.808 0.0976844
  26 0.255 168.102 0.0944775
  27 0.265 168.614 0.0947653
  28 0.275 167.61 0.094201
  29 0.285 172.406 0.0968965
  30 0.295 169.88 0.0954768
  31 0.305 177.796 0.0999258
  32 0.315 172.568 0.0969875
  33 0.325 176.452 0.0991704
  34 0.335 182.736 0.102702
  35 0.345 178.592 0.100373
  36 0.355 180.514 0.101453
  37 0.365 190.232 0.106915
  38 0.375 192.044 0.107934
  39 0.385 187.906 0.105608
  40 0.395 198.33 0.111466
  41 0.405 193.998 0.109032
  42 0.415 196.654 0.110524
  43 0.425 200.844 0.112879
  44 0.435 205.89 0.115715
  45 0.445 192.776 0.108345
  46 0.455 216.558 0.121711
  47 0.465 208.816 0.11736
  48 0.475 205.348 0.115411
  49 0.485 217.49 0.122235
  50 0.495 218.492 0.122798
  51 0.505 220.262 0.123793
  52 0.515 227.644 0.127942
  53 0.525 229.83 0.12917
  54 0.535 235.842 0.132549
  55 0.545 235.48 0.132346
  56 0.555 237.162 0.133291
  57 0.565 238.946 0.134294
  58 0.575 236.64 0.132998
  59 0.585 240.61 0.135229
  60 0.595 238.044 0.133787
  61 0.605 244.12 0.137202
  62 0.615 237.372 0.133409
  63 0.625 249.25 0.140085
  64 0.635 244.52 0.137426
  65 0.645 247.67 0.139197
  66 0.655 250.524 0.140801
  67 0.665 251.33 0.141254
  68 0.675 249.762 0.140372
  69 0.685 252.756 0.142055
  70 0.695 248.552 0.139692
  71 0.705 253.808 0.142646
  72 0.715 254.786 0.143196
  73 0.725 248.552 0.139692
  74 0.735 254.006 0.142758
  75 0.745 257.68 0.144823
  76 0.755 240.488 0.13516
  77 0.765 247.632 0.139175
  78 0.775 251.77 0.141501
  79 0.785 241.688 0.135835
  80 0.795 238.54 0.134065
  81 0.805 244.758 0.13756
  82 0.815 241.052 0.135477
