# Chunk-averaged data for fix ave_stressy and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_stress[2]
10000 100 20999.999999999996
  1 0.005 214.294 0.0154653
  2 0.015 217.292 0.152527
  3 0.025 215.07 0.00343294
  4 0.035 211.356 0.0135944
  5 0.045 212.846 0.135576
  6 0.055 209.89 0.070961
  7 0.065 207.576 -0.0489028
  8 0.075 202.732 0.164134
  9 0.085 201.878 0.0472078
  10 0.095 200.342 0.0799348
  11 0.105 195.772 0.00630286
  12 0.115 193.012 0.066827
  13 0.125 198.506 0.0107841
  14 0.135 197.666 0.108681
  15 0.145 195.834 0.0679978
  16 0.155 193.842 0.00423656
  17 0.165 196.302 0.0596397
  18 0.175 196.218 0.103043
  19 0.185 198.71 0.062731
  20 0.195 196.606 0.152189
  21 0.205 193.234 0.00678228
  22 0.215 193.802 0.0450572
  23 0.225 197.062 0.0878949
  24 0.235 200.866 0.0696839
  25 0.245 192.874 0.0990997
  26 0.255 200.824 0.0229534
  27 0.265 197.642 0.0878638
  28 0.275 200.036 0.0859054
  29 0.285 202.092 0.0137192
  30 0.295 208.744 0.0616898
  31 0.305 204.472 0.108495
  32 0.315 208.612 -0.00629262
  33 0.325 212.678 0.0803424
  34 0.335 213.56 -0.0117633
  35 0.345 213.968 0.0574462
  36 0.355 209.218 0.0251506
  37 0.365 216.552 0.0287782
  38 0.375 202.916 0.0149079
  39 0.385 210.6 0.0184976
  40 0.395 208.908 0.0347685
  41 0.405 198.97 0.125761
  42 0.415 205.524 0.0109408
  43 0.425 208.464 -0.0238916
  44 0.435 195.922 0.115386
  45 0.445 206.736 0.0714426
  46 0.455 206.66 0.00034563
  47 0.465 191.902 0.031813
  48 0.475 216.564 0.0441045
  49 0.485 203.424 0.0883228
  50 0.495 190.868 -0.00811548
  51 0.505 210.008 0.0415358
  52 0.515 198.482 0.0770223
  53 0.525 190.354 0.0269053
  54 0.535 204.416 0.0884959
  55 0.545 200.768 0.0759021
  56 0.555 199.038 0.0398858
  57 0.565 207.69 0.0623073
  58 0.575 203.08 0.0441441
  59 0.585 204.414 0.00280152
  60 0.595 209.346 0.115697
  61 0.605 202.36 0.104684
  62 0.615 215.294 0.0571716
  63 0.625 206.932 0.0926637
  64 0.635 204.808 0.0178527
  65 0.645 211.594 0.035042
  66 0.655 218.488 0.0926781
  67 0.665 214.094 0.141174
  68 0.675 214.754 0.0100391
  69 0.685 223.718 0.041444
  70 0.695 215.086 0.0819059
  71 0.705 225.344 0.071277
  72 0.715 219.228 0.0779251
  73 0.725 218.92 0.0908151
  74 0.735 224.056 0.0102169
  75 0.745 221.13 0.112352
  76 0.755 223.2 0.0922925
  77 0.765 228.13 0.0457732
  78 0.775 220.888 0.09538
  79 0.785 223.052 0.0391492
  80 0.795 221.092 0.0207437
  81 0.805 225.842 0.143283
  82 0.815 223.92 0.0763568
  83 0.825 218.696 0.0420926
  84 0.835 231.388 0.115296
  85 0.845 221.95 0.00488471
  86 0.855 226.578 0.101319
  87 0.865 229.704 0.0920026
  88 0.875 223.436 -0.0154306
  89 0.885 219.896 0.0331125
  90 0.895 223.66 0.173913
  91 0.905 226.55 0.0647204
  92 0.915 213.98 0.0100373
  93 0.925 226.086 0.0102826
  94 0.935 226.086 0.0506764
  95 0.945 217.51 0.173432
  96 0.955 221.728 0.00457158
  97 0.965 221.256 -0.00540964
  98 0.975 213.806 0.108191
  99 0.985 219.796 0.10826
  100 0.995 218.93 -0.00639662
20000 100 21000.000000000004
  1 0.005 207.57 0.000408897
  2 0.015 205.99 0.174636
  3 0.025 203.724 0.0137751
  4 0.035 204.484 0.0116024
  5 0.045 203.78 0.152581
  6 0.055 209.528 0.0325065
  7 0.065 208.96 0.0460519
  8 0.075 202.7 0.0901101
  9 0.085 213.442 0.061527
  10 0.095 202.308 0.0810252
  11 0.105 207.73 0.079492
  12 0.115 201.644 0.0234555
  13 0.125 203.876 0.0729198
  14 0.135 199.058 0.0551141
  15 0.145 200.148 0.0862421
  16 0.155 196.066 0.0904525
  17 0.165 201.12 0.169738
  18 0.175 194.794 -0.0182853
  19 0.185 201.578 0.127538
  20 0.195 205.058 0.0377946
  21 0.205 201.056 0.00600866
  22 0.215 191.832 0.0523017
  23 0.225 215.76 0.118192
  24 0.235 200.784 0.092106
  25 0.245 192.25 0.0841527
  26 0.255 211.994 0.0154527
  27 0.265 200.552 0.0892579
  28 0.275 194.14 0.0689338
  29 0.285 213.232 0.0584797
  30 0.295 203.388 0.154234
  31 0.305 200.338 -0.05386
  32 0.315 210.442 0.0917838
  33 0.325 207.01 0.118597
  34 0.335 206.24 0.0580358
  35 0.345 203.868 0.0575303
  36 0.355 215.158 0.0740699
  37 0.365 204.386 0.0503256
  38 0.375 207.736 0.042763
  39 0.385 218.924 0.0572218
  40 0.395 202.918 0.0414082
  41 0.405 213.154 0.072058
  42 0.415 215.562 0.0634646
  43 0.425 206.682 0.0464704
  44 0.435 214.558 -0.0295191
  45 0.445 210.99 0.185653
  46 0.455 206.75 0.0464833
  47 0.465 212.504 -0.0618965
  48 0.475 215.578 0.102454
  49 0.485 206.312 0.0518755
  50 0.495 211.55 0.016892
  51 0.505 214.968 0.174095
  52 0.515 210.07 0.0487441
  53 0.525 213.456 0.0226458
  54 0.535 210.882 0.0564119
  55 0.545 209.254 0.115646
  56 0.555 212.292 -0.0244875
  57 0.565 208 0.142411
  58 0.575 214.25 -0.00361275
  59 0.585 212.322 0.0744675
  60 0.595 210.53 0.0805419
  61 0.605 218.066 0.117548
  62 0.615 209.952 -0.113681
  63 0.625 209.104 0.079656
  64 0.635 225.642 0.11666
  65 0.645 215.022 -0.00250825
  66 0.655 210.086 0.0640829
  67 0.665 218.15 0.093801
  68 0.675 212.408 0.0625767
  69 0.685 207.538 0.0484354
  70 0.695 209.636 0.0570762
  71 0.705 212.726 0.0823505
  72 0.715 208.27 0.0753048
  73 0.725 214.538 0.0642279
  74 0.735 214.282 0.124672
  75 0.745 206.014 0.0624702
  76 0.755 218.558 0.041529
  77 0.765 217.908 0.116043
  78 0.775 213.224 0.111664
  79 0.785 218.414 0.013901
  80 0.795 213.948 0.123306
  81 0.805 215.812 0.102197
  82 0.815 214.268 0.0328828
  83 0.825 217.526 0.0646867
  84 0.835 214.608 0.0835053
  85 0.845 219.39 0.0588039
  86 0.855 218.24 0.0802046
  87 0.865 216.932 0.183589
  88 0.875 220.23 0.00991654
  89 0.885 213.71 0.0666142
  90 0.895 214.314 0.0588225
  91 0.905 217.806 0.166738
  92 0.915 218.31 0.0332858
  93 0.925 210.376 0.0578564
  94 0.935 222.94 0.106964
  95 0.945 216.274 0.0664918
  96 0.955 210.974 0.0693205
  97 0.965 216.752 0.0752154
  98 0.975 218.476 0.036935
  99 0.985 209.464 0.0939918
  100 0.995 214.882 0.108108
30000 100 21000.000000000004
  1 0.005 206.116 0.12411
  2 0.015 209.47 -0.0878163
  3 0.025 198.068 0.152826
  4 0.035 207.152 0.069039
  5 0.045 207.85 -0.04578
  6 0.055 195.454 0.10142
