# Chunk-averaged data for fix ave_stressz and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_stress[3]
10000 100 21000
  1 0.005 194.284 0.00518605
  2 0.015 197.236 0.0383416
  3 0.025 188.064 0.151308
  4 0.035 191.358 -0.0164874
  5 0.045 194.026 0.097421
  6 0.055 181.516 0.031993
  7 0.065 183.814 0.0582111
  8 0.075 174.142 0.0766276
  9 0.085 181.134 0.0907913
  10 0.095 170.566 0.0399742
  11 0.105 169.31 -0.00256685
  12 0.115 177.634 0.175539
  13 0.125 172.052 0.0517537
  14 0.135 160.83 0.0244018
  15 0.145 159.106 0.0330205
  16 0.155 163.352 0.076427
  17 0.165 155.682 0.108139
  18 0.175 162.134 0.124854
  19 0.185 152.034 0.100569
  20 0.195 146.73 0.0138733
  21 0.205 151.878 0.144643
  22 0.215 149.328 0.187415
  23 0.225 146.888 -0.0559741
  24 0.235 143.592 0.0379689
  25 0.245 150.114 0.166852
  26 0.255 149.372 0.238805
  27 0.265 156.604 -0.0289594
  28 0.275 147.94 0.065522
  29 0.285 152.352 0.0670002
  30 0.295 165.934 0.0511228
  31 0.305 153.906 0.0826634
  32 0.315 161.862 0.123357
  33 0.325 170.59 0.00754088
  34 0.335 167.392 0.186146
  35 0.345 170.672 -0.039949
  36 0.355 174.676 0.029052
  37 0.365 180.306 0.174541
  38 0.375 183.406 0.0752739
  39 0.385 182.21 0.00415758
  40 0.395 187.594 0.0157843
  41 0.405 191.506 0.0875312
  42 0.415 190.296 0.134563
  43 0.425 194.542 -0.0410527
  44 0.435 200.456 0.0686068
  45 0.445 205.312 0.0538569
  46 0.455 215.178 0.0940645
  47 0.465 211.69 -0.00369658
  48 0.475 224.36 0.0673337
  49 0.485 219.17 0.0323527
  50 0.495 228.366 0.0840176
  51 0.505 233.236 0.00440933
  52 0.515 233.522 0.0193937
  53 0.525 236.61 0.0540619
  54 0.535 238.112 0.0437764
  55 0.545 246.188 -0.0118624
  56 0.555 238.442 0.0746241
  57 0.565 250.898 0.108328
  58 0.575 246.664 -0.059173
  59 0.585 245.562 0.0597542
  60 0.595 256.67 0.101549
  61 0.605 249.066 -0.0528703
  62 0.615 249.43 0.117919
  63 0.625 257.82 0.0323191
  64 0.635 248.592 -0.0115796
  65 0.645 249.732 0.069734
  66 0.655 264.978 -0.0357958
  67 0.665 254.3 0.136432
  68 0.675 254.29 -0.00849403
  69 0.685 268.096 0.0511379
  70 0.695 253.768 0.0492778
  71 0.705 263.366 0.0774612
  72 0.715 266.4 -0.0391789
  73 0.725 254.476 0.0460541
  74 0.735 259.594 0.0495347
  75 0.745 267.004 -0.0647354
  76 0.755 251.046 0.081256
  77 0.765 264.242 0.0574852
  78 0.775 265.108 -0.00264494
  79 0.785 251.518 -0.061972
  80 0.795 263.768 0.06802
  81 0.805 257.752 -0.0123807
  82 0.815 257.886 0.0670806
  83 0.825 254.338 0.0248865
  84 0.835 260.73 -0.111421
  85 0.845 258.198 0.0441682
  86 0.855 241.034 0.0319428
  87 0.865 263.936 0.0514712
  88 0.875 240.124 0.0571187
  89 0.885 234.98 -0.00688701
  90 0.895 238.048 0.0586073
  91 0.905 220.83 0.071667
  92 0.915 222.592 0.0906014
  93 0.925 215.976 0.0327816
  94 0.935 219.328 0.0993327
  95 0.945 213.978 0.00265493
  96 0.955 210.184 0.0669526
  97 0.965 201.71 0.0906554
  98 0.975 211.796 0.107839
  99 0.985 190.188 0.0228849
  100 0.995 201.398 0.0842668
20000 100 20999.999999999993
  1 0.005 194.674 0.00874928
  2 0.015 195.608 0.0967022
  3 0.025 192.294 0.0431397
  4 0.035 187.452 0.0259096
  5 0.045 183.642 0.0173305
  6 0.055 185.646 0.0399285
  7 0.065 183.164 0.117799
  8 0.075 175.746 -0.0305636
  9 0.085 179.012 0.0651709
  10 0.095 181.132 0.00691024
  11 0.105 178.114 -0.0127506
  12 0.115 175.714 0.100526
  13 0.125 183.716 0.0365508
  14 0.135 170.322 -0.0198425
  15 0.145 176.482 0.0956975
  16 0.155 179.378 -0.0275788
  17 0.165 173.676 0.0689061
  18 0.175 178.274 0.0186679
  19 0.185 175.024 -0.0414079
  20 0.195 170.212 0.10919
  21 0.205 174.048 -0.0607941
  22 0.215 173.886 0.0701148
  23 0.225 163.304 0.0697825
  24 0.235 169.64 -0.0645709
  25 0.245 173.808 0.0203548
  26 0.255 168.102 0.0777256
  27 0.265 168.614 0.045413
  28 0.275 167.61 -0.076527
  29 0.285 172.406 0.00379342
  30 0.295 169.88 0.114379
  31 0.305 177.796 0.0668706
  32 0.315 172.568 -0.055144
  33 0.325 176.452 0.0621416
  34 0.335 182.736 0.061518
  35 0.345 178.592 0.0248708
  36 0.355 180.514 0.0759542
  37 0.365 190.232 -0.0176008
  38 0.375 192.044 0.0401206
  39 0.385 187.906 0.0830527
  40 0.395 198.33 0.116871
  41 0.405 193.998 -0.130144
  42 0.415 196.654 0.131339
  43 0.425 200.844 0.0974217
  44 0.435 205.89 0.0491193
  45 0.445 192.776 -0.0323565
  46 0.455 216.558 0.0196938
  47 0.465 208.816 0.0946112
  48 0.475 205.348 0.0084526
  49 0.485 217.49 0.0642635
  50 0.495 218.492 0.0560335
  51 0.505 220.262 0.0112705
  52 0.515 227.644 0.0762745
  53 0.525 229.83 -0.0635173
  54 0.535 235.842 0.0737873
  55 0.545 235.48 0.136604
  56 0.555 237.162 -0.0616172
  57 0.565 238.946 0.0928657
  58 0.575 236.64 0.0073402
  59 0.585 240.61 0.0557028
  60 0.595 238.044 0.114149
  61 0.605 244.12 0.0128769
  62 0.615 237.372 0.0895826
  63 0.625 249.25 0.121219
  64 0.635 244.52 -0.0365464
  65 0.645 247.67 0.0952339
  66 0.655 250.524 0.0534257
  67 0.665 251.33 0.0421452
  68 0.675 249.762 0.0495102
  69 0.685 252.756 0.0647285
  70 0.695 248.552 -0.00527537
  71 0.705 253.808 0.139153
  72 0.715 254.786 0.000806575
  73 0.725 248.552 0.0396584
  74 0.735 254.006 0.0745449
  75 0.745 257.68 0.0709756
  76 0.755 240.488 0.0191844
  77 0.765 247.632 0.0508875
  78 0.775 251.77 0.0927319
  79 0.785 241.688 0.0258097
  80 0.795 238.54 -0.00958161
  81 0.805 244.758 0.0632255
  82 0.815 241.052 0.0618453
  83 0.825 238.088 0.0419489
  84 0.835 238.942 0.0544403
  85 0.845 239.568 -0.00551081
  86 0.855 236.432 0.088509
  87 0.865 235.752 0.046311
  88 0.875 229.676 0.021672
  89 0.885 229.458 0.020905
  90 0.895 229.194 0.0845866
  91 0.905 224.384 0.0337016
  92 0.915 217.462 0.0491235
  93 0.925 225.408 0.0553402
  94 0.935 213.79 0.113639
  95 0.945 209.7 0.00906802
  96 0.955 219.16 0.048108
  97 0.965 200.422 0.0788722
  98 0.975 199.082 0.0147586
  99 0.985 208.918 0.0576933
  100 0.995 198.872 0.12366
30000 100 20999.999999999996
  1 0.005 197.088 0.0147464
  2 0.015 203.14 -0.0159494
  3 0.025 202.372 0.0871973
  4 0.035 192.93 0.0314917
  5 0.045 198.894 -0.0518945
  6 0.055 195.026 0.0582801
  7 0.065 189.742 0.0717343
  8 0.075 189.086 0.0022191
  9 0.085 191.052 0.0608061
  10 0.095 183.364 0.066738
  11 0.105 182.808 -0.0272313
  12 0.115 185.078 0.0852986
  13 0.125 187.516 0.142928
  14 0.135 180.1 -0.0474746
  15 0.145 183.94 0.0204687
  16 0.155 184.518 0.0593184
  17 0.165 180.91 0.128759
  18 0.175 175.576 -0.0842148
  19 0.185 183.088 0.111035
  20 0.195 177.926 0.0547723
  21 0.205 179.366 0.00361103
  22 0.215 175.578 0.0057899
  23 0.225 183.642 0.0737074
  24 0.235 184.268 0.0137182
  25 0.245 175.654 -0.0566711
  26 0.255 186.064 0.0722389
  27 0.265 185.632 0.0912021
  28 0.275 177.012 -0.0704405
  29 0.285 190.418 0.0081044
  30 0.295 180.118 0.107285
  31 0.305 188.402 0.0641552
  32 0.315 191.14 -0.0829552
  33 0.325 184.944 0.0798257
  34 0.335 194.58 0.0571217
  35 0.345 191.672 0.00947301
  36 0.355 195.49 0.0440454
  37 0.365 193.048 -0.00713691
  38 0.375 201.714 0.00190513
  39 0.385 203.754 0.0636724
  40 0.395 194.854 -0.00521509
  41 0.405 203.812 -0.0101643
  42 0.415 210.032 0.105881
